"transcript","logFC","logCPM","LR","PValue","FDR","contrast","expression"
"16922","TRINITY_DN29819_c0_g1_i1",3.527990051,3.275361012,39.22438332,3.78e-10,3.51e-08,"T2_vs_CTL","up"
"16923","TRINITY_DN49531_c0_g1_i1",-4.17043275,1.224422391,39.04122486,4.15e-10,3.84e-08,"T2_vs_CTL","down"
"16924","TRINITY_DN122161_c0_g1_i1",-3.120539797,6.003384781,38.94875727,4.35e-10,4e-08,"T2_vs_CTL","down"
"16925","TRINITY_DN55542_c0_g1_i1",-3.11880602,5.534535082,38.89075336,4.48e-10,4.1e-08,"T2_vs_CTL","down"
"16926","TRINITY_DN52393_c0_g1_i1",3.4323424,3.08346062,38.83178374,4.62e-10,4.2e-08,"T2_vs_CTL","up"
"16927","TRINITY_DN29975_c0_g1_i1",-3.656642807,2.295403485,38.70840267,4.92e-10,4.45e-08,"T2_vs_CTL","down"
"16928","TRINITY_DN46031_c1_g1_i1",3.288472257,10.60001147,38.48009688,5.53e-10,4.98e-08,"T2_vs_CTL","up"
"16929","TRINITY_DN49189_c0_g1_i3",-3.142667473,4.328757852,38.13789871,6.59e-10,5.9e-08,"T2_vs_CTL","down"
"16930","TRINITY_DN57738_c3_g1_i2",7.286528068,1.010645018,37.80625866,7.81e-10,6.96e-08,"T2_vs_CTL","up"
"16931","TRINITY_DN59803_c0_g2_i1",3.220175211,3.702806751,37.79260426,7.87e-10,6.97e-08,"T2_vs_CTL","up"
"16932","TRINITY_DN59053_c0_g1_i1",4.959619157,1.741853053,37.53176161,8.99e-10,7.92e-08,"T2_vs_CTL","up"
"16933","TRINITY_DN50146_c0_g1_i1",-3.055560019,5.420809996,37.46601347,9.3e-10,8.14e-08,"T2_vs_CTL","down"
"16934","TRINITY_DN28081_c0_g1_i1",-4.41108559,0.797176164,37.45891875,9.34e-10,8.14e-08,"T2_vs_CTL","down"
"16935","TRINITY_DN93261_c0_g1_i1",5.440247299,0.538504571,37.33503317,9.95e-10,8.63e-08,"T2_vs_CTL","up"
"16936","TRINITY_DN27019_c0_g1_i2",3.055466531,6.345967145,37.19771488,1.07e-09,9.21e-08,"T2_vs_CTL","up"
"16937","TRINITY_DN41771_c0_g1_i1",3.064546377,5.129316377,37.15209672,1.09e-09,9.38e-08,"T2_vs_CTL","up"
"16938","TRINITY_DN51858_c0_g1_i2",-3.050366742,5.23859553,37.07840652,1.13e-09,9.69e-08,"T2_vs_CTL","down"
